sector,num_trades,winning_trades,losing_trades,win_rate,avg_return_pct,total_return,total_return_pct
Financials,58,27,31,46.55172413793103,22.126906461233038,233430.892458527,63978.59962999216
Consumer Discretionary,117,47,70,40.17094017094017,12.165873552270526,183866.41067766186,261566.4818947956
Information Technology,238,77,161,32.35294117647059,1.8994527388024265,179825.47969879204,331.0061177558963
Materials,26,11,15,42.30769230769231,22.682239007326395,158730.0382948577,1377.5764526409616
Technology,74,29,45,39.189189189189186,4.353139852621303,153828.26080316925,612.9492327617046
Industrials,93,32,61,34.40860215053764,4.867445830388323,126164.91236463295,464.5191174857854
Energy,19,7,12,36.84210526315789,15.746443155382675,85867.19503274115,273.407680570715
Consumer Staples,10,4,6,40.0,36.33417885750854,46748.742193223035,316.89424331413704
Real Estate,46,16,30,34.78260869565217,6.10400919933195,37176.88876434378,530.2040147427078
Communication Services,51,15,36,29.411764705882355,-1.4147075905019662,-4351.054458069257,-70.42597214959171
