year,return,volatility,sharpe_ratio,max_drawdown,num_trades,win_rate,start_value,end_value
2015,22.78969300715408,12.617379033928563,1.8062145034933024,-5.122888706401747,246,49.59349593495935,99500.94558998349,122176.90562915614
2016,40.11008120731143,13.033749966024743,3.07740146250058,-4.224653828745914,217,50.69124423963134,122018.22956274239,170959.84052808204
2017,29.648055632356158,7.483507243655009,3.9617861875517866,-3.406952472016817,100,54.0,171968.967516493,222954.42267617132
2018,12.293115465199437,5.809159895929725,2.1161606300099938,-4.373277968987827,234,44.44444444444444,224782.01695423032,252414.72984341803
2019,11.083886370013404,5.8646307098671135,1.8899546993410867,-2.956302915044182,298,46.308724832214764,252864.69594846765,280891.9315172757
2020,13.254292708883902,9.111566755958489,1.454666696066984,-7.526667852987634,333,51.651651651651655,282390.3502467853,319819.1938501367
2021,12.597722984853732,5.03940179459678,2.499844921744669,-2.83545748749643,379,50.65963060686016,317057.11229936173,356999.08901061193
2022,2.124245223005978,3.8093562989803496,0.5576388912674235,-2.4906285736591207,365,52.054794520547944,357189.01489001734,364776.58547592064
2023,7.063738960009028,5.5036444138320055,1.2834657235951006,-4.380868429921324,373,47.98927613941019,365036.4847984304,390821.70919338457
2024,6.587418554676335,5.6127967927936036,1.1736428019510825,-2.4972052772234155,422,43.838862559241704,390715.2915384848,416453.3431492487
2025,3.2463795349884075,4.013646539086933,0.8088354326604277,-2.150936124353383,369,42.81842818428184,416766.9303575878,430296.76669331593
