year,start_value,end_value,return
2015,99500.94558998349,122176.90562915614,22.78969300715408
2016,122018.22956274239,170959.84052808204,40.11008120731143
2017,171968.967516493,222954.42267617132,29.648055632356158
2018,224782.01695423032,252414.72984341803,12.293115465199437
2019,252864.69594846765,280891.9315172757,11.083886370013404
2020,282390.3502467853,319819.1938501367,13.254292708883902
2021,317057.11229936173,356999.08901061193,12.597722984853732
2022,357189.01489001734,364776.58547592064,2.124245223005978
2023,365036.4847984304,390821.70919338457,7.063738960009028
2024,390715.2915384848,416453.3431492487,6.587418554676335
2025,416766.9303575878,430296.76669331593,3.2463795349884075
