year,1,2,3,4,5,6,7,8,9,10,11,12
2015,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01071954877090997
2021,-0.9164373609776955,-0.46471898330977535,0.6392057747043323,1.6087190615137636,0.27612247031205683,0.08437846831108597,0.8929281142736833,1.332856072391042,-3.0350085868377175,1.639358704074989,0.08384220054755698,1.3911438566024614
2022,-1.6284550041662293,-1.2664598729071552,-0.1416291214406451,-2.6217534856143976,-1.015100763694099,0.0,0.0,-1.1431926960158822,-0.9220383180858827,0.0,0.0,0.0
2023,0.0,-0.7886210351918055,-0.6392389824516287,-0.4259053917175737,-1.1350234439715279,1.4117409869160769,1.012065130494877,-0.210154964089182,-1.3490514366803263,-0.5622311761838472,2.2732772134831825,1.9218454437742283
2024,-0.018830025283278484,0.6932041730753902,1.7243074710989958,-1.3783739518175575,0.2837358312040905,0.9450290453068666,2.8337880383924707,1.3871417520491258,1.3837188585329008,-1.2289412979104686,2.3871637889130604,-3.4280178869044664
2025,3.5913086479207434,-1.4128747833363153,-3.103770512393522,-2.9682287643896466,1.8952982252549821,0.6185850335176379,0.8987607117386665,2.541444382971725,1.2709416279783836,-0.4458176981124051,0.8956889778862553,
