year,month,return_pct
2020,1,2.5115265974436474
2020,2,-2.1525027851116874
2020,3,0.16918077089564942
2020,4,1.0192804501626185
2020,5,4.611249499955439
2020,6,0.4296335624419001
2020,7,1.8803087021342257
2020,8,2.920643418073521
2020,9,-1.3281216452389666
2020,10,3.6428846819172467
2020,11,5.099264414778659
2020,12,5.645546845898841
2021,1,5.5582272753960105
2021,2,2.661223581548988
2021,3,3.673875131406623
2021,4,0.9647713087013177
2021,5,1.2430535826992273
2021,6,0.31528446103601393
2021,7,-0.17025618037939116
2021,8,0.08017803419959613
2021,9,0.9099023448315702
2021,10,3.736857939320126
2021,11,-0.6410805151021215
2021,12,0.9075703142825686
2022,1,1.5674918788019854
2022,2,1.3251110015088052
2022,3,0.9380405818558923
2022,4,0.8188303993050816
2022,5,1.642442409235656
2022,6,0.6871052110079212
2022,7,0.9271621951319808
2022,8,1.1258813499891662
2022,9,-0.7682834194041477
2022,10,1.0956754884662967
2022,11,1.504049695549181
2022,12,-0.10871105429330896
2023,1,1.3991872428965824
2023,2,-1.5519524067698298
2023,3,0.567603040142739
2023,4,0.2835567780549608
2023,5,1.5524635138379983
2023,6,0.658354298336361
2023,7,1.6584366151623176
2023,8,-0.025804756285574548
2023,9,-0.4656796503091365
2023,10,-0.3845245858638213
2023,11,0.9202679594829899
2023,12,0.6561821108544974
2024,1,0.8852598989812055
2024,2,2.6513728760866107
2024,3,1.8429644728926275
2024,4,-0.6702402740783264
2024,5,0.12196853979549171
2024,6,-0.4310280062579386
2024,7,0.3722891512945026
2024,8,0.5643898097749789
2024,9,0.24199568709324382
2024,10,0.7785277291900039
2024,11,1.7580238219351285
2024,12,-1.0200683662671683
2025,1,0.7714902459226236
2025,2,-0.07250978109769601
2025,3,-0.039928389078358606
2025,4,-0.2095474115808571
2025,5,0.28155554077093914
2025,6,1.524151038273036
2025,7,-0.23265822774738432
2025,8,-0.40034672880281397
2025,9,0.9918064334804022
2025,10,0.12752696222486648
2025,11,-0.25545998713187856
